llm,shot_method,schema_linking_method,table_group,samples,table_precision,table_recall,table_f1,column_precision,column_recall,column_f1
gpt-3.5-turbo,few_shot,table2column,two_table,2592,87.12,96.59,91.61,80.1,86.36,83.11
gpt-3.5-turbo,few_shot,table2column,three_table,721,94.31,91.74,93.0,87.88,84.05,85.92
gpt-4o-mini,zero_shot,baseline_schema_linking,overall,3313,87.85,96.79,92.1,82.62,67.52,74.31
gpt-4o-mini,zero_shot,baseline_schema_linking,two_table,2592,85.74,98.38,91.63,80.07,68.73,73.97
gpt-4o-mini,zero_shot,baseline_schema_linking,three_table,721,93.46,93.12,93.29,89.63,64.7,75.15
gpt-4o-mini,zero_shot,table2column,overall,3313,87.46,97.27,92.1,84.59,73.96,78.92
gpt-4o-mini,zero_shot,table2column,two_table,2592,84.97,98.48,91.23,82.03,74.92,78.31
gpt-4o-mini,zero_shot,table2column,three_table,721,94.13,94.46,94.29,91.51,71.75,80.43
gpt-4o-mini,few_shot,baseline_schema_linking,overall,3313,90.47,96.42,93.35,84.46,83.71,84.09
gpt-4o-mini,few_shot,baseline_schema_linking,two_table,2592,88.76,98.26,93.27,82.04,84.26,83.13
gpt-4o-mini,few_shot,baseline_schema_linking,three_table,721,94.98,92.14,93.54,90.82,82.45,86.43
gpt-4o-mini,few_shot,table2column,overall,3313,89.0,96.04,92.39,85.7,86.36,86.03
gpt-4o-mini,few_shot,table2column,two_table,2592,86.91,97.47,91.89,83.42,87.01,85.18
gpt-4o-mini,few_shot,table2column,three_table,721,94.54,92.72,93.62,91.63,84.86,88.12
